,validity_duration,nb_lines,nb_chars,nb_requirements,nb_selection_steps,nb_line_scale,nb_char_scale,Resp_level,Open_To_All,exp_years,high_education,full_time_part_time_code,to_male
0,11,89,9186,1.0,2.0,2,1,3,1,2.0,0,2,0
1,13,80,8166,1.0,2.0,1,1,4,0,3.0,0,2,1
2,13,76,7385,1.0,1.0,1,1,4,0,2.0,0,2,0
6,13,107,11795,1.0,2.0,2,3,3,1,3.0,0,2,0
7,13,91,12459,3.0,1.0,2,3,3,1,2.0,1,2,1
8,13,106,12484,2.0,1.0,2,3,3,1,2.0,1,2,1
9,13,84,10525,1.0,2.0,1,1,3,0,2.0,0,2,1
10,13,68,6454,3.0,1.0,1,0,3,1,4.0,0,2,1
12,13,80,8036,1.0,2.0,1,1,5,0,2.0,0,2,1
13,13,87,10655,4.0,1.0,2,1,5,1,3.0,0,2,1
14,13,86,11083,2.0,1.0,2,3,5,1,2.0,1,2,0
16,13,82,8414,2.0,0.0,1,1,2,1,2.0,1,2,0
17,13,85,10650,3.0,2.0,2,1,4,1,2.0,0,2,1
18,13,89,10560,2.0,1.0,2,1,4,1,2.0,1,2,1
19,13,70,6455,1.0,1.0,1,0,4,0,2.0,0,2,0
20,13,76,9572,2.0,1.0,1,1,4,0,4.0,0,2,1
21,13,80,9354,2.0,1.0,1,1,4,0,3.0,1,2,0
22,13,78,10644,2.0,1.0,1,1,4,0,2.0,0,2,1
23,13,94,9889,2.0,0.0,2,1,4,1,2.0,1,2,1
24,13,81,8085,2.0,0.0,1,1,4,0,2.0,1,2,1
25,309,92,11223,2.0,1.0,2,3,4,1,4.0,1,2,0
26,13,67,6645,2.0,1.0,1,0,4,1,2.0,0,2,1
27,13,96,11227,5.0,0.0,2,3,4,1,2.0,1,2,1
28,13,88,9755,2.0,2.0,2,1,4,0,2.0,0,2,0
29,13,85,12276,5.0,2.0,2,3,4,0,2.0,0,2,0
30,13,79,7517,1.0,2.0,1,1,4,0,2.0,0,2,1
31,13,77,7997,2.0,2.0,1,1,4,1,3.0,1,2,1
32,13,82,10040,2.0,1.0,1,1,4,1,2.0,0,2,1
33,13,72,11094,2.0,1.0,1,3,4,1,2.0,1,2,1
34,13,107,11667,1.0,2.0,2,3,4,0,2.0,0,2,1
35,13,119,13543,2.0,1.0,3,4,4,1,3.0,1,2,1
36,13,89,12178,3.0,1.0,2,3,4,1,3.0,1,2,1
37,13,72,6430,1.0,0.0,1,0,4,1,2.0,0,2,0
38,13,75,7914,1.0,2.0,1,1,3,0,2.0,0,2,1
39,13,78,9041,1.0,2.0,1,1,3,0,2.0,0,2,1
40,13,88,8535,1.0,1.0,2,1,3,0,4.0,0,2,1
41,13,95,12761,1.0,1.0,2,3,3,0,4.0,0,2,1
42,13,72,7402,3.0,2.0,1,1,3,1,2.0,0,2,1
43,13,76,5998,1.0,1.0,1,0,3,0,4.0,0,2,1
44,13,84,9443,2.0,1.0,1,1,3,0,2.0,1,2,1
